symbol,path,notes
step_1,"./icons/PNGs/01.png","Step marker 1 (circled number)"
step_2,"./icons/PNGs/02.png","Step marker 2 (circled number)"
step_3,"./icons/PNGs/03.png","Step marker 3 (circled number)"
step_4,"./icons/PNGs/04.png","Step marker 4 (circled number)"
step_5,"./icons/PNGs/05.png","Step marker 5 (circled number)"
step_6,"./icons/PNGs/06.png","Step marker 6 (circled number)"
step_7,"./icons/PNGs/07.png","Step marker 7 (circled number)"
step_8,"./icons/PNGs/08.png","Step marker 8 (circled number)"
step_9,"./icons/PNGs/09.png","Step marker 9 (circled number)"
badge,"./icons/PNGs/Badge.png","Badge"
badge_black,"./icons/PNGs/Badge_black.png","Badge black"
bi_directional_black,"./icons/PNGs/Bi Directional black.png","Bi Directional black"
bi_directional,"./icons/PNGs/Bi Directional.png","Bi Directional"
bio_fuel,"./icons/PNGs/Bio-Fuel.png","Bio Fuel"
blog_post_black,"./icons/PNGs/Blog Post black.png","Blog Post black"
blog_post,"./icons/PNGs/Blog Post.png","Blog Post"
book,"./icons/PNGs/Book.png","Book"
broker_control_center_neg,"./icons/PNGs/Broker-Control-Center-neg.png","Broker Control Center neg"
broker_control_center,"./icons/PNGs/Broker-Control-Center.png","Broker Control Center"
bus_black_06,"./icons/PNGs/Bus black-06.png","Bus black 06"
bus,"./icons/PNGs/Bus.png","Bus"
cpu,"./icons/PNGs/CPU.png","CPU"
car_1,"./icons/PNGs/Car (1).png","Car (1)"
car_experts_neg,"./icons/PNGs/Car-Experts-Neg.png","Car Experts Neg"
car_experts,"./icons/PNGs/Car-Experts.png","Car Experts"
car_neg,"./icons/PNGs/Car-Neg.png","Car Neg"
car,"./icons/PNGs/Car.png","Car"
channel_1,"./icons/PNGs/Channel (1).png","Channel (1)"
channel,"./icons/PNGs/Channel.png","Channel"
chemical_plant_1,"./icons/PNGs/Chemical plant (1).png","Chemical plant (1)"
chemical_plant,"./icons/PNGs/Chemical plant.png","Chemical plant"
cloud_black,"./icons/PNGs/Cloud black.png","Cloud black"
cloud,"./icons/PNGs/Cloud.png","Cloud"
computer_chip,"./icons/PNGs/Computer-chip.png","Computer chip"
connectivity_black,"./icons/PNGs/Connectivity black.png","Connectivity black"
connectivity,"./icons/PNGs/Connectivity.png","Connectivity"
consistent_communication,"./icons/PNGs/Consistent-Communication.png","Consistent Communication"
container_black,"./icons/PNGs/Container black.png","Container black"
container,"./icons/PNGs/Container.png","Container"
cost_savings,"./icons/PNGs/Cost-savings.png","Cost savings"
cpu_black,"./icons/PNGs/Cpu black .png","Cpu black"
data_applications,"./icons/PNGs/Data Applications.png","Data Applications"
data_center_black,"./icons/PNGs/Data center black.png","Data center black"
data_center,"./icons/PNGs/Data center.png","Data center"
data_cloud,"./icons/PNGs/Data-Cloud.png","Data Cloud"
data_historian,"./icons/PNGs/Data-Historian.png","Data Historian"
data_security,"./icons/PNGs/Data-Security.png","Data Security"
data_lake,"./icons/PNGs/Data-lake.png","Data lake"
data_real_time,"./icons/PNGs/Data-real-time.png","Data real time"
deploy_black,"./icons/PNGs/Deploy black.png","Deploy black"
deploy,"./icons/PNGs/Deploy.png","Deploy"
dishwasher_black,"./icons/PNGs/Dishwasher black.png","Dishwasher black"
dishwasher,"./icons/PNGs/Dishwasher.png","Dishwasher"
double_gear,"./icons/PNGs/Double gear.png","Double gear"
drone_medical,"./icons/PNGs/Drone-medical.png","Drone medical"
drone,"./icons/PNGs/Drone.png","Drone"
durability,"./icons/PNGs/Durability.png","Durability"
durablity_black,"./icons/PNGs/Durablity black.png","Durablity black"
edge_to_cloud,"./icons/PNGs/Edge-to-Cloud.png","Edge to Cloud"
electricity_tower,"./icons/PNGs/Electricity-Tower.png","Electricity Tower"
engagement,"./icons/PNGs/Engagement.png","Engagement"
envelope_black,"./icons/PNGs/Envelope black.png","Envelope black"
envelope,"./icons/PNGs/Envelope.png","Envelope"
factory_black,"./icons/PNGs/Factory black.png","Factory black"
factory,"./icons/PNGs/Factory.png","Factory"
fast_forward_black,"./icons/PNGs/Fast forward black.png","Fast forward black"
fast_forward,"./icons/PNGs/Fast forward.png","Fast forward"
female_user,"./icons/PNGs/Female user.png","Female user"
flexibility,"./icons/PNGs/Flexibility.png","Flexibility"
flexible_neg,"./icons/PNGs/Flexible-Neg.png","Flexible Neg"
flexible,"./icons/PNGs/Flexible.png","Flexible"
flexibltiy_black,"./icons/PNGs/Flexibltiy black.png","Flexibltiy black"
folder_black,"./icons/PNGs/Folder black.png","Folder black"
folder,"./icons/PNGs/Folder.png","Folder"
fully_managed,"./icons/PNGs/Fully-Managed.png","Fully Managed"
fully_managed_neg,"./icons/PNGs/Fully-Managed_Neg.png","Fully Managed Neg"
fully_manage,"./icons/PNGs/Fully-manage.png","Fully manage"
gas_pump,"./icons/PNGs/Gas-Pump.png","Gas Pump"
gateway_y,"./icons/PNGs/Gateway y.png","Gateway y"
gateway,"./icons/PNGs/Gateway.png","Gateway"
gear_complex_black,"./icons/PNGs/Gear complex black.png","Gear complex black"
gear_complex,"./icons/PNGs/Gear complex.png","Gear complex"
gear_simple_black,"./icons/PNGs/Gear simple black.png","Gear simple black"
gear,"./icons/PNGs/Gear.png","Gear"
globe_black,"./icons/PNGs/Globe black.png","Globe black"
globe,"./icons/PNGs/Globe.png","Globe"
guide,"./icons/PNGs/Guide.png","Guide"
historian_blck,"./icons/PNGs/HIstorian blck.png","HIstorian blck"
handshake_black,"./icons/PNGs/Handshake black.png","Handshake black"
handshake,"./icons/PNGs/Handshake.png","Handshake"
harddrive_black,"./icons/PNGs/Harddrive black.png","Harddrive black"
harddrive,"./icons/PNGs/Harddrive.png","Harddrive"
historian,"./icons/PNGs/Historian.png","Historian"
hydro_turbine,"./icons/PNGs/Hydro-Turbine.png","Hydro Turbine"
hydroelectric_energy,"./icons/PNGs/Hydroelectric-energy.png","Hydroelectric energy"
hyrdo_energy,"./icons/PNGs/Hyrdo-Energy.png","Hyrdo Energy"
integrations_neg,"./icons/PNGs/Integrations-neg.png","Integrations neg"
integrations,"./icons/PNGs/Integrations.png","Integrations"
key_black,"./icons/PNGs/Key black.png","Key black"
key,"./icons/PNGs/Key.png","Key"
laptop_black,"./icons/PNGs/Laptop black.png","Laptop black"
laptop,"./icons/PNGs/Laptop.png","Laptop"
lightbulb_neg,"./icons/PNGs/Lightbulb-Neg.png","Lightbulb Neg"
lightbulb,"./icons/PNGs/Lightbulb.png","Lightbulb"
load_balancer_black,"./icons/PNGs/Load balancer black.png","Load balancer black"
load_balancer,"./icons/PNGs/Load balancer.png","Load balancer"
location,"./icons/PNGs/Location.png","Location"
lock_closed_black,"./icons/PNGs/Lock closed black.png","Lock closed black"
lock_open_black,"./icons/PNGs/Lock open black.png","Lock open black"
lock,"./icons/PNGs/Lock.png","Lock"
log_black,"./icons/PNGs/Log black.png","Log black"
log,"./icons/PNGs/Log.png","Log"
mqtt_client_library_neg,"./icons/PNGs/MQTT-client-library-neg.png","MQTT client library neg"
mqtt_client_library,"./icons/PNGs/MQTT-client-library.png","MQTT client library"
marketing,"./icons/PNGs/Marketing.png","Marketing"
master_scada_system,"./icons/PNGs/Master-SCADA-System.png","Master SCADA System"
modbus_black,"./icons/PNGs/Modbus black.png","Modbus black"
modbus,"./icons/PNGs/Modbus.png","Modbus"
monitor_browser_black,"./icons/PNGs/Monitor browser black.png","Monitor browser black"
monitor_browser,"./icons/PNGs/Monitor browser.png","Monitor browser"
monitor_stats_black,"./icons/PNGs/Monitor stats black.png","Monitor stats black"
monitor_stats,"./icons/PNGs/Monitor stats.png","Monitor stats"
multi_deployments,"./icons/PNGs/Multi-deployments.png","Multi deployments"
number_of_plants,"./icons/PNGs/Number-of-Plants.png","Number of Plants"
observable_insights_1,"./icons/PNGs/Observable-Insights(1).png","Observable Insights(1)"
observable_insights_neg,"./icons/PNGs/Observable-Insights-Neg.png","Observable Insights Neg"
observable_insights,"./icons/PNGs/Observable-insights.png","Observable insights"
oil_drilling,"./icons/PNGs/Oil Drilling.png","Oil Drilling"
oil_engineering,"./icons/PNGs/Oil Engineering.png","Oil Engineering"
oil_pipeline,"./icons/PNGs/Oil Pipeline.png","Oil Pipeline"
oil_refinery,"./icons/PNGs/Oil Refinery.png","Oil Refinery"
oil_transportation,"./icons/PNGs/Oil Transportation.png","Oil Transportation"
oil_well,"./icons/PNGs/Oil Well.png","Oil Well"
open_lock,"./icons/PNGs/Open lock.png","Open lock"
plc,"./icons/PNGs/PLC.png","PLC"
passanger_black,"./icons/PNGs/Passanger black.png","Passanger black"
passanger,"./icons/PNGs/Passanger.png","Passanger"
phone_black,"./icons/PNGs/Phone black.png","Phone black"
phone,"./icons/PNGs/Phone.png","Phone"
platform_black,"./icons/PNGs/Platform black.png","Platform black"
platform,"./icons/PNGs/Platform.png","Platform"
plug_black,"./icons/PNGs/Plug black.png","Plug black"
plug,"./icons/PNGs/Plug.png","Plug"
plugin_black,"./icons/PNGs/Plugin black.png","Plugin black"
plugin,"./icons/PNGs/Plugin.png","Plugin"
price,"./icons/PNGs/Price.png","Price"
pulse_agent,"./icons/PNGs/Pulse-Agent.png","Pulse Agent"
pulse_client,"./icons/PNGs/Pulse-Client.png","Pulse Client"
pulse_server,"./icons/PNGs/Pulse-Server.png","Pulse Server"
question,"./icons/PNGs/Question.png","Question"
radio_black,"./icons/PNGs/Radio black.png","Radio black"
radio,"./icons/PNGs/Radio.png","Radio"
recycle,"./icons/PNGs/Recycle.png","Recycle"
regulatory_compliance,"./icons/PNGs/Regulatory Compliance.png","Regulatory Compliance"
reliability_neg,"./icons/PNGs/Reliability-Neg.png","Reliability Neg"
reliable_1,"./icons/PNGs/Reliable (1).png","Reliable (1)"
reliable_black,"./icons/PNGs/Reliable black.png","Reliable black"
reliable,"./icons/PNGs/Reliable.png","Reliable"
renewable_energy,"./icons/PNGs/Renewable-Energy.png","Renewable Energy"
retained_mag_black,"./icons/PNGs/Retained mag black.png","Retained mag black"
retained_mag,"./icons/PNGs/Retained mag.png","Retained mag"
robot_neg,"./icons/PNGs/Robot-neg.png","Robot neg"
robot,"./icons/PNGs/Robot.png","Robot"
rocket_neg,"./icons/PNGs/Rocket-Neg.png","Rocket Neg"
rocket,"./icons/PNGs/Rocket.png","Rocket"
sales_bootcamp,"./icons/PNGs/Sales-Bootcamp.png","Sales Bootcamp"
scalable_black,"./icons/PNGs/Scalable black.png","Scalable black"
scalable,"./icons/PNGs/Scalable.png","Scalable"
scalable_neg,"./icons/PNGs/Scalable_Neg.png","Scalable Neg"
scale_legal,"./icons/PNGs/Scale-Legal.png","Scale Legal"
seamless_interation,"./icons/PNGs/Seamless-Interation.png","Seamless Interation"
search_black,"./icons/PNGs/Search black.png","Search black"
search,"./icons/PNGs/Search.png","Search"
security_lock_neg,"./icons/PNGs/Security-Lock-Neg.png","Security Lock Neg"
security_lock,"./icons/PNGs/Security-Lock.png","Security Lock"
security_neg,"./icons/PNGs/Security-Neg.png","Security Neg"
security_control_integration,"./icons/PNGs/Security-control-integration.png","Security control integration"
security,"./icons/PNGs/Security.png","Security"
seemless_integration_neg,"./icons/PNGs/Seemless-Integration-Neg.png","Seemless Integration Neg"
self_managed_neg,"./icons/PNGs/Self-Managed-Neg.png","Self Managed Neg"
self_managed,"./icons/PNGs/Self-Managed.png","Self Managed"
sensor_black,"./icons/PNGs/Sensor black.png","Sensor black"
sensor,"./icons/PNGs/Sensor.png","Sensor"
server_black,"./icons/PNGs/Server black.png","Server black"
server,"./icons/PNGs/Server.png","Server"
serverless_black,"./icons/PNGs/Serverless black.png","Serverless black"
serverless,"./icons/PNGs/Serverless.png","Serverless"
simple_to_deploy_1,"./icons/PNGs/Simple-to-deploy(1).png","Simple to deploy(1)"
simple_to_deploy_neg,"./icons/PNGs/Simple-to-deploy-neg.png","Simple to deploy neg"
solar_panel,"./icons/PNGs/Solar-panel.png","Solar panel"
solar,"./icons/PNGs/Solar.png","Solar"
solution,"./icons/PNGs/Solution.png","Solution"
speech_buble_black,"./icons/PNGs/Speech buble black.png","Speech buble black"
speech,"./icons/PNGs/Speech.png","Speech"
stop_watch_black,"./icons/PNGs/Stop watch black.png","Stop watch black"
stopwatch,"./icons/PNGs/Stopwatch.png","Stopwatch"
sustainability,"./icons/PNGs/Sustainability.png","Sustainability"
tablet_black,"./icons/PNGs/Tablet black.png","Tablet black"
tablet,"./icons/PNGs/Tablet.png","Tablet"
tacho_black,"./icons/PNGs/Tacho black.png","Tacho black"
tacho,"./icons/PNGs/Tacho.png","Tacho"
target,"./icons/PNGs/Target.png","Target"
thermal_plant,"./icons/PNGs/Thermal-Plant.png","Thermal Plant"
topic,"./icons/PNGs/Topic.png","Topic"
troubleshooting,"./icons/PNGs/Troubleshooting.png","Troubleshooting"
turbine_wind_energy,"./icons/PNGs/Turbine wind energy.png","Turbine wind energy"
turbine_multi,"./icons/PNGs/Turbine-Multi.png","Turbine Multi"
two_gears_black,"./icons/PNGs/Two gears black.png","Two gears black"
unrel_network,"./icons/PNGs/Unrel network.png","Unrel network"
unreliable_network_black,"./icons/PNGs/Unreliable network black.png","Unreliable network black"
user,"./icons/PNGs/User.png","User"
vent_black,"./icons/PNGs/Vent black.png","Vent black"
vent,"./icons/PNGs/Vent.png","Vent"
video_black,"./icons/PNGs/Video black.png","Video black"
video,"./icons/PNGs/Video.png","Video"
webinar_black,"./icons/PNGs/Webinar black.png","Webinar black"
webinar,"./icons/PNGs/Webinar.png","Webinar"
wifi_black,"./icons/PNGs/Wifi black.png","Wifi black"
wifi,"./icons/PNGs/Wifi.png","Wifi"
wind_turbine,"./icons/PNGs/Wind-Turbine.png","Wind Turbine"
windmill,"./icons/PNGs/Windmill.png","Windmill"
zero_downtime,"./icons/PNGs/Zero Downtime.png","Zero Downtime"
authorzation_1,"./icons/PNGs/authorzation (1).png","authorzation (1)"
authorzation,"./icons/PNGs/authorzation.png","authorzation"
book_black,"./icons/PNGs/book black.png","book black"
connection_per_vehicle,"./icons/PNGs/connection-per-vehicle.png","connection per vehicle"
control_data,"./icons/PNGs/control-data.png","control data"
cost_material_down,"./icons/PNGs/cost-material-down.png","cost material down"
digital_twin,"./icons/PNGs/digital-twin.png","digital twin"
drone_oil_and_gas,"./icons/PNGs/drone-oil-and-gas.png","drone oil and gas"
number_of_vehicle,"./icons/PNGs/number-of-vehicle.png","number of vehicle"
operational_efficiency,"./icons/PNGs/operational-efficiency.png","operational efficiency"
overall_equipment_efficiency,"./icons/PNGs/overall-equipment-efficiency.png","overall equipment efficiency"
product_service_quality,"./icons/PNGs/product-service-quality.png","product service quality"
